time (s),offset (us),delay (us)
8,-6103.00,12206.00
13,-2054.00,4108.00
18,-4558.50,9117.00
23,-2557.50,5115.00
28,-2057.50,4115.00
33,-2058.00,4116.00
38,-2058.00,4116.00
43,-2055.00,4110.00
48,-9058.00,18116.00
53,-2057.50,4115.00
58,-2057.00,4114.00
63,-2057.00,4114.00
68,-2558.50,5117.00
73,-4054.00,8108.00
78,-2056.50,4113.00
83,-2066.50,4133.00
88,-2057.50,4115.00
93,-2058.50,4117.00
98,-4058.50,8117.00
103,-3057.50,6115.00
108,-3058.50,6117.00
113,-2057.00,4114.00
118,-2058.00,4116.00
123,-2057.00,4114.00
128,-5557.50,11115.00
133,-2055.00,4110.00
138,-3048.00,6096.00
143,-2056.00,4112.00
148,-4556.50,9113.00
153,-5058.00,10116.00
158,-7057.50,14115.00
163,-2556.50,5113.00
168,-2556.50,5113.00
173,-2056.00,4112.00
178,-2058.00,4116.00
183,-2057.50,4115.00
188,-2056.50,4113.00
193,-100559.50,201119.00
198,-2052.50,4105.00
203,-2054.00,4108.00
208,-2056.00,4112.00
